prefecture,zone_admin,zone,prix,surface_m2,prix_m2_officiel,source
AGOE-NYIVE,Zone 2: Périurbaine,ahonkpoè,5000000.0,600.0,8333.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,togblékopé,5000000.0,600.0,8333.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,zongo,5000000.0,600.0,8333.0,ValeursVenales
AGOE-NYIVE,Zone 2: Périurbaine,adétikopé périurbain,5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 1: Urbaine,daviémodji,5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 1: Urbaine,tsévié wémé,5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 1: Urbaine,tsévié wagba,5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 1: Urbaine,tsévié wuagba (cité nord),5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 1: Urbaine,tsévié davié adidomé,5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 1: Urbaine,tsévié assiama,5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 1: Urbaine,tsévié boloumondji,5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 1: Urbaine,tsévié gbatopémodji,5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 1: Urbaine,kpali,5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 1: Urbaine,kpatéfi,5000000.0,600.0,8333.0,ValeursVenales
ZIO,Zone 2: Périurbaine,mission tové,2000000.0,600.0,3333.0,ValeursVenales
ZIO,Zone 2: Périurbaine,apessito,2000000.0,600.0,3333.0,ValeursVenales
ZIO,Zone 2: Périurbaine,kpala,2000000.0,600.0,3333.0,ValeursVenales
ZIO,Zone 2: Périurbaine,davié assomé,2000000.0,600.0,3333.0,ValeursVenales
ZIO,Zone 2: Périurbaine,djagblé,2000000.0,600.0,3333.0,ValeursVenales
ZIO,Zone 3: Rurale,terrains agricoles,700000.0,10000.0,70.0,ValeursVenales
OGOU,Zone 1: Urbaine,atakpamé eroma,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,agbonou kpota,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,idiotsè,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,commune,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,talo sanin,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,ayelecopé,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,agbonou-kpota,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,agbonou,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,gnagna,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,woudou,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,doulassamé,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,agbonou-kpotamé,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,talo-tandjé,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 1: Urbaine,aféyé-kpota,4000000.0,600.0,6667.0,ValeursVenales
OGOU,Zone 2: Périurbaine,zone périurbaine,2000000.0,600.0,3333.0,ValeursVenales
OGOU,Zone 3: Rurale,terrains agricoles,200000.0,10000.0,20.0,ValeursVenales
LACS,Zone 1: Urbaine,nlessi,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,glidji,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,zébé,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,assoukondji,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,vodougbé cocoteraie,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,adjido,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,abalo kondji,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,vodougbé,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,tonoukondji,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,yésuvito,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,kpota,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,dégbénou,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,commune,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 1: Urbaine,goumoukopé,5000000.0,600.0,8333.0,ValeursVenales
LACS,Zone 2: Périurbaine,zone périurbaine,2000000.0,600.0,3333.0,ValeursVenales
LACS,Zone 3: Rurale,terrains agricoles,600000.0,10000.0,60.0,ValeursVenales
VO,Zone 1: Urbaine,séva-mondji,4000000.0,600.0,6667.0,ValeursVenales
VO,Zone 1: Urbaine,adjrégo-apégan,4000000.0,600.0,6667.0,ValeursVenales
VO,Zone 1: Urbaine,adagbé,4000000.0,600.0,6667.0,ValeursVenales
VO,Zone 1: Urbaine,agbopé,4000000.0,600.0,6667.0,ValeursVenales
VO,Zone 1: Urbaine,ville de vogan,4000000.0,600.0,6667.0,ValeursVenales
VO,Zone 1: Urbaine,agogbezin,4000000.0,600.0,6667.0,ValeursVenales
VO,Zone 1: Urbaine,amoindji-pédakomé,4000000.0,600.0,6667.0,ValeursVenales
VO,Zone 2: Périurbaine,zone périurbaine,2000000.0,600.0,3333.0,ValeursVenales
VO,Zone 3: Rurale,terrains agricoles,500000.0,10000.0,50.0,ValeursVenales
KLOTO,Zone 1: Urbaine,kpodzi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,kusuntu,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,kpegolonou,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,kligekodzi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,kpota,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,zomayi kpota,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,kpeta,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,dzodzekodzi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,agoekodzi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,kpogadzi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,sihinu,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,gakpodzi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,zongo,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,afiadényigba kodzi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,dome,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,totsoanyi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,samkodzi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,akpamé kondzi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,numetukodzi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,nogo,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,lomnava,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,novissi,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,tsivé,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 1: Urbaine,nyivémé,5000000.0,600.0,8333.0,ValeursVenales
KLOTO,Zone 2: Périurbaine,zone périurbaine,2000000.0,600.0,3333.0,ValeursVenales
KLOTO,Zone 3: Rurale,terrains agricoles,200000.0,10000.0,20.0,ValeursVenales
HAHO,Zone 1: Urbaine,notsè,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,avizouha,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,atiteromé,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,sabakomé,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,adjigo,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,zongo,4000000.0,600.0,6667.0,ValeursVenales
HAHO,Zone 1: Urbaine,nawolo,4000000.0,600.0,6667.0,ValeursVenales
