source,id,nuo,titre,usage,offre,categorie,ville,quartier,piece,surface,garage,cout_mensuel,cout_vente,nuitee
ImmoAsk,1453,5394,"villa,louer,lome,sagbado",Logement,louer,Villa,Lome,Sagbado,4,300.0,1,100000,0,0
ImmoAsk,1452,5393,"boutique,louer,akepe,noepe ",Commercial,louer,Boutique,Akepe,Noepe ,1,80.0,0,60000,0,0
ImmoAsk,1451,5392,"chambre,louer,lome,hedzranawoe ",Logement,louer,Chambre,Lome,Hédzranawoe,1,25.0,0,30000,0,0
ImmoAsk,1450,5391,"terrain,vendre,lome,sagbado",Acquisition,vendre,Terrain,Lome,Sagbado,0,300.0,0,0,11000000,0
ImmoAsk,1449,5390,"appartement meublé,louer,lome,adewi",Sejour,louer,Appartement meublé,Lome,Adewui,2,100.0,1,410000,0,0
ImmoAsk,1448,5389,"appartement meublé,louer,lome,atilamonou ",Sejour,louer,Appartement meublé,Lome,Adidogome,0,120.0,0,180000,0,0
ImmoAsk,1447,5388,"appartement meublé,louer,lome,atilamonou ",Sejour,louer,Appartement meublé,Lome,Adidogome,0,120.0,0,180000,0,0
ImmoAsk,1446,5387,"appartement meublé,louer,lome, adewi",Sejour,louer,Appartement meublé,Lome,Adewui,1,110.0,1,310000,0,0
ImmoAsk,1445,5386,"studio meublé,louer,lome,adewi ",Sejour,louer,Studio,Lome,Adewui,1,90.0,1,210000,0,0
ImmoAsk,1444,5385,"magasin,louer,lome,hedzranawoe ",Commercial,louer,Magasin,Lome,Hédzranawoe,1,300.0,0,350000,0,0
ImmoAsk,1443,5384,"appartement meublé,louer,lome,nyekonakpoe",Sejour,louer,Appartement meublé,Lome,Nyékonakpoè ,3,156.0,3,1000000,0,0
ImmoAsk,1442,5383,"immeuble,vendre,lome,adewui",Acquisition,vendre,Immeuble,Lome,Adewui,0,680.0,0,0,100000000,0
ImmoAsk,1441,5382,"terrain,vendre,lome,akepe",Acquisition,vendre,Terrain,Lome,Akepe,0,600.0,0,0,5500000,0
ImmoAsk,1440,5381,"terrain,vendre,lome,akepe",Acquisition,vendre,Terrain,Lome,Akepe,0,600.0,0,0,6500000,0
ImmoAsk,1439,5380,"appartement meublé,louer,lome,adewi",Sejour,louer,Appartement meublé,Lome,Adewui,0,130.0,0,450000,0,0
ImmoAsk,1438,5379,"villa,louer,lome,ave maria ",Logement,louer,Villa,Lome,Adidogome,2,70.0,2,120000,0,0
ImmoAsk,1437,5378,"terrain,vendre,lome,adidogome ",Acquisition,vendre,Terrain,Lome,Adidogome,0,300.0,0,0,15500000,0
ImmoAsk,1436,5377,"chambre salon,louer,lome,soviepe",Logement,louer,Chambre salon,Lome,Adidogome,1,15.0,0,25000,0,0
ImmoAsk,1435,5376,"appartement meublé,louer,lome,hedzranawoe",Sejour,louer,Appartement meublé,Lome,Hédzranawoe,3,250.0,2,500000,0,0
ImmoAsk,1434,5375,"appartement,louer,lome,adidogome",Logement,louer,Appartement,Lome,Adidogome,2,100.0,2,120000,0,0
ImmoAsk,1433,5374,"terrain,vendre,lome,non loin de t-oil leo 2000",Acquisition,vendre,Terrain,Lome,Agoe,0,740.0,0,0,40000000,0
ImmoAsk,1432,5373,"appartement,louer,lome,adidogome",Logement,louer,Appartement,Lome,Adidogome,3,120.0,1,180000,0,0
ImmoAsk,1431,5372,"appartement meublé,louer,lome,hedzranawoe",Sejour,louer,Appartement meublé,Lome,Hédzranawoe,3,250.0,2,600000,0,0
ImmoAsk,1430,5371,"chambre salon,louer,lome,adewi",Logement,louer,Chambre salon,Lome,Adewui,1,60.0,1,200000,0,0
ImmoAsk,1429,5370,"villa,louer,lome,adidogome ",Logement,louer,Villa,Lome,Adidogome,3,70.0,1,80000,0,0
ImmoAsk,1428,5369,"terrain,vendre,lome,agoe ",Acquisition,vendre,Terrain,Lome,Agoe,0,300.0,0,0,12500000,0
ImmoAsk,1427,5368,"chambre salon,louer,lome,soviefe",Logement,louer,Chambre salon,Lome,Adidogome,1,16.0,0,50000,0,0
ImmoAsk,1426,5367,"chambre salon,louer,lome,soviefe",Logement,louer,Chambre salon,Lome,Adidogome,1,16.0,1,50000,0,0
ImmoAsk,1425,5366,"chambre salon,louer,lome,adidogome ",Logement,louer,Chambre salon,Lome,Adidogome,1,16.0,2,60000,0,0
ImmoAsk,1424,5365,"chambre salon,louer,lome,adidogome",Logement,louer,Chambre salon,Lome,Adidogome,0,14.5,0,25000,0,0
ImmoAsk,1423,5364,"chambre salon,louer,lome,adidogome",Logement,louer,Chambre salon,Lome,Adidogome,1,25.0,1,33000,0,0
ImmoAsk,1422,5363,"villa meublée,louer,lome,adidogome",Sejour,louer,Villa meublée,Lome,Adidogome,3,100.0,2,600000,0,0
ImmoAsk,1421,5362,"villa meublée,louer,lome,adidogome",Sejour,louer,Villa meublée,Lome,Adidogome,2,100.0,2,450000,0,0
ImmoAsk,1420,5361,"villa,louer,lome,adidogome",Logement,louer,Villa,Lome,Adidogome,6,120.0,4,300000,0,0
ImmoAsk,1419,5360,"chambre salon,louer,lome,adidogome",Logement,louer,Chambre salon,Lome,Adidogome,1,20.0,2,50000,0,0
ImmoAsk,1418,5359,"2 chambres salon,louer,lome,adidogome",Logement,louer,2 chambres salon,Lome,Adidogome,2,40.0,1,60000,0,0
ImmoAsk,1417,5358,"appartement meublé,louer,lome,agoe",Sejour,louer,Appartement meublé,Lome,Agoe,1,100.0,1,250000,0,0
ImmoAsk,1416,5357,"appartement meublé,louer,lome,adidogome",Sejour,louer,Appartement meublé,Lome,Adidogome,2,150.0,1,350000,0,0
ImmoAsk,1415,5356,"villa meublée,louer,lome,adidogome",Sejour,louer,Villa meublée,Lome,Adidogome,4,150.0,1,1000000,0,0
ImmoAsk,1414,5355,"chambre salon,louer,lome,zanguera",Logement,louer,Chambre salon,Lome,Zanguera,1,15.0,0,35000,0,0
ImmoAsk,1413,5354,"appartement meublé,louer,lome,adidogome",Sejour,louer,Appartement meublé,Lome,Adidogome,2,150.0,4,450000,0,0
ImmoAsk,1412,5353,"appartement meublé,louer,lome, centre ville",Sejour,louer,Appartement meublé,Lome,Nyékonakpoè ,1,100.0,1,1100000,0,0
ImmoAsk,1411,5352,"chambre salon,louer,lome, zanguera",Logement,louer,Chambre salon,Lome,Zanguera,1,20.0,2,45000,0,0
ImmoAsk,1410,5351,"villa meublée,louer,lome,carrefour aised",Sejour,louer,Villa meublée,Lome,Adidogome,2,150.0,1,400000,0,0
ImmoAsk,1409,5350,"appartement meublé,louer,lome, gblinkome",Sejour,louer,Appartement meublé,Lome,Gblinkome,0,55.0,0,250000,0,0
ImmoAsk,1408,5349,"appartement meublé,louer,lome, gblinkome",Sejour,louer,Appartement meublé,Lome,Gblinkome,1,55.0,2,250000,0,0
ImmoAsk,1407,5348,"appartement meublé,louer,lome,kodjoviakope",Sejour,louer,Appartement meublé,Lome,Kodjoviakope,1,50.0,1,300000,0,0
ImmoAsk,1406,5347,"studio meublé,louer,lome,agoe",Sejour,louer,Appartement meublé,Lome,Agoe,1,25.0,0,150000,0,0
