Source0,titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source8,source
COIN D'AFRIQUE,Terain 1200m² - Hedranawoé,VENTE,TERRAIN,hedzranawoe,1.3E8,Non spécifié,1200.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 211m² à Agoe Amerinta Assiko,VENTE,TERRAIN,agoe amerinta assiko,9000000.0,Non spécifié,211.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 350m² - Adidogomé boukarou,VENTE,TERRAIN,adidogome,1.5E7,Non spécifié,350.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 529m² à Kodjoviakopé,VENTE,TERRAIN,kodjoviakope,5.5E7,Non spécifié,529.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 560m² à Agoe Minamadou,VENTE,TERRAIN,agoe minamadou,3.8E7,Non spécifié,560.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 600 m² Agoe Légbassito zovadjin,VENTE,TERRAIN,legbassito,2.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 620m² lomé - gnekonakpoe,VENTE,TERRAIN,gnekonakpoe,6.5E7,Non spécifié,620.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 765m² Togo 2000 Atiégou,VENTE,TERRAIN,atiegou,7.0E7,Non spécifié,765.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terain 8 lots à Lomé Hountigomé,VENTE,TERRAIN,hountigome,1.2E9,Non spécifié,4800.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrai - Aképé,VENTE,TERRAIN,akepe,1.7E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,"Terrai,n 2lots à Légbassito",VENTE,TERRAIN,legbassito,6.0E7,Non spécifié,1200.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain,VENTE,TERRAIN,agoe terrain,2000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain + 4 pièces - Zanguéra,VENTE,TERRAIN,zanguera,2.0E7,4,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain + maison 4 pièces - Agoè,VENTE,TERRAIN,agoe,2.7E7,4,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - 326m² - Atikpodji,VENTE,TERRAIN,atikpodji,3.5E8,Non spécifié,326.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adetikopé Kpotavé,VENTE,TERRAIN,adetikope kpotave,3800000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adetsikope,VENTE,TERRAIN,adetikope,6000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adidogome,VENTE,TERRAIN,adidogome,9000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adidogome - kohe,VENTE,TERRAIN,kohe,7500000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adidogomé,VENTE,TERRAIN,adidogome,1.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adidogomé,VENTE,TERRAIN,adidogome,2.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adidogomé,VENTE,TERRAIN,adidogome,2.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adidogomé,VENTE,TERRAIN,adidogome,2.7E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adidogomé,VENTE,TERRAIN,adidogome,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adidogomé,VENTE,TERRAIN,adidogome,5.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Adjougba,VENTE,TERRAIN,agoe adjougba,2.2E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agbalepedo,VENTE,TERRAIN,agbalepedo,3.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agbelouvé,VENTE,TERRAIN,agbelouve,700000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agoè,VENTE,TERRAIN,agoe,2.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agoè,VENTE,TERRAIN,agoe,7.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agoè Demakpoè,VENTE,TERRAIN,agoe,3.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agoè Koffi Pannou,VENTE,TERRAIN,agoe,2.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agoè Legbassito(,VENTE,TERRAIN,agoe,1.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agoè Nanegbè,VENTE,TERRAIN,agoe,2.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agoè assiyeye,VENTE,TERRAIN,agoe,3.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agoè cacaveli,VENTE,TERRAIN,agoe,2.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agoè échangeur,VENTE,TERRAIN,agoe,2.3E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Agoé sogbossito,VENTE,TERRAIN,sogbossito,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Akepedo,VENTE,TERRAIN,akepedo,2500000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Akodésséwa,VENTE,TERRAIN,akodessewa,3.0E8,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Amadahomé,VENTE,TERRAIN,amadahome,6.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Attiégou,VENTE,TERRAIN,attiegou,2.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Attiégou,VENTE,TERRAIN,attiegou,6.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Avedji,VENTE,TERRAIN,avedji,2.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Avédji,VENTE,TERRAIN,avedji,2.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Badja,VENTE,TERRAIN,badja,900000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Baguida,VENTE,TERRAIN,baguida,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Baguida,VENTE,TERRAIN,baguida,5.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Baguida,VENTE,TERRAIN,baguida,7.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Baguida monument,VENTE,TERRAIN,baguida monument,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Be kpota,VENTE,TERRAIN,be kpota,5.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Cité de la Renaissance,VENTE,TERRAIN,non precise,1.2E8,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Danliko,VENTE,TERRAIN,danliko,1.2E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Davié,VENTE,TERRAIN,davie,1.25E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Davié Tékpo,VENTE,TERRAIN,davie tekpo,1.3E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Djagblé,VENTE,TERRAIN,djagble,5000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Djidjole,VENTE,TERRAIN,djidjole,1.6E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Hedranawoe,VENTE,TERRAIN,hedzranawoe,5.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kara Togo,VENTE,TERRAIN,kara togo,2700000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kegue,VENTE,TERRAIN,kegue,1.3E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kegué,VENTE,TERRAIN,kegue,6.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kleme djigbe,VENTE,TERRAIN,kleme djigbe,1.98E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kleme djigbe,VENTE,TERRAIN,kleme djigbe,2.4E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Klobatèmé,VENTE,TERRAIN,klobateme,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Klémé,VENTE,TERRAIN,kleme,1.2E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kovie - Dzogbetona,VENTE,TERRAIN,dzogbetona,600000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kovié,VENTE,TERRAIN,kovie,2000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kpala,VENTE,TERRAIN,kpala,7000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kpalimé,VENTE,TERRAIN,kpalime,1.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kpogan,VENTE,TERRAIN,kpogan,1980000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kpove,VENTE,TERRAIN,kpove,1250000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Kégue,VENTE,TERRAIN,kegue,1.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Legbassito,VENTE,TERRAIN,legbassito,7.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Legbassito,VENTE,TERRAIN,legbassito,8.75E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Lomé,VENTE,TERRAIN,lome,3500000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Lomé,VENTE,TERRAIN,lome,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Lomé Aképé,VENTE,TERRAIN,akepe,9000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Lomé Djagblé,VENTE,TERRAIN,djagble,8000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Lomé togo agoè,VENTE,TERRAIN,agoe,3.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Légbassito,VENTE,TERRAIN,legbassito,3.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Noepé,VENTE,TERRAIN,noepe,2000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Notsé,VENTE,TERRAIN,notse,2000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Néopé,VENTE,TERRAIN,neope,6000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Segbe,VENTE,TERRAIN,segbe,1.7E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Somone,VENTE,TERRAIN,somone,7000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Tokoin,VENTE,TERRAIN,tokoin,5.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Tomdè (kara),VENTE,TERRAIN,tomde kara,9000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Totsi,VENTE,TERRAIN,totsi,6.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Tsevie,VENTE,TERRAIN,tsevie,2000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Tsévié,VENTE,TERRAIN,tsevie,3500000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Ville de lomé,VENTE,TERRAIN,lome,9.5E8,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Yokoè,VENTE,TERRAIN,yokoe,5000000.0,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Zanguera,VENTE,TERRAIN,zanguera,1.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Zanguera,VENTE,TERRAIN,zanguera,1.6E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Zanguera,VENTE,TERRAIN,zanguera,1.7E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - Zanguéra,VENTE,TERRAIN,zanguera,1.1E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain - kodjoviakopé,VENTE,TERRAIN,kodjoviakope,5.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain /2 Lot Sis Agoê kognito,VENTE,TERRAIN,kognito,1.0E7,Non spécifié,1200.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot - Agoè anokui,VENTE,TERRAIN,agoe,3.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot - Agoè demakpoé base 228,VENTE,TERRAIN,agoe,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot - Baguida monument,VENTE,TERRAIN,baguida monument,4.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot - Decon,VENTE,TERRAIN,decon,6.5E8,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot 1/4 au bord du goudron de Segbe.,VENTE,TERRAIN,segbe,1.7E8,Non spécifié,750.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot bien clôturé TF à Zanguera Kleme château,VENTE,TERRAIN,zanguera kleme chateau,2.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot de avédji ceg,VENTE,TERRAIN,avedji,3.5E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot de à kpogan afidegnigba,VENTE,TERRAIN,kpogan afidegnigba,3.2E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot en ville ancien Lonato,VENTE,TERRAIN,lonato,3.0E8,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot et 1/2 de terrain clôturé à Adidogomé douane,VENTE,TERRAIN,adidogome,1.7E8,Non spécifié,300.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot et 1/4 lot - Adidogomé wognomé,VENTE,TERRAIN,adidogome,4.0E7,Non spécifié,750.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot à Adewui,VENTE,TERRAIN,adewui,1.3E8,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot à Adidogomé franciscain,VENTE,TERRAIN,adidogome,5.0E7,Non spécifié,600.0,CoinAfrique,coinafrique
COIN D'AFRIQUE,Terrain 01 lot à Apessito,VENTE,TERRAIN,apessito,1.6E7,Non spécifié,600.0,CoinAfrique,coinafrique
