titre,type_offre,type_bien,zone,prix,pieces,surface_m2,source
"terrain,vendre,lome,agoe",VENTE,Terrain,agoe,12500000,2.0,300.0,immoask
"chambre salon,louer,lome,soviefe",LOCATION,Chambre Salon,adidogome,50000,1.0,16.0,immoask
"chambre salon,louer,lome,adidogome",LOCATION,Chambre Salon,adidogome,60000,1.0,16.0,immoask
"chambre salon,louer,lome,adidogome",LOCATION,Chambre Salon,adidogome,25000,1.0,14.5,immoask
"chambre salon,louer,lome,adidogome",LOCATION,Chambre Salon,adidogome,33000,1.0,25.0,immoask
"villa meublée,louer,lome,adidogome",LOCATION,Villa,adidogome,600000,3.0,100.0,immoask
"villa meublée,louer,lome,adidogome",LOCATION,Villa,adidogome,450000,2.0,100.0,immoask
"villa,louer,lome,adidogome",LOCATION,Villa,adidogome,300000,6.0,120.0,immoask
"chambre salon,louer,lome,adidogome",LOCATION,Chambre Salon,adidogome,50000,1.0,20.0,immoask
"2 chambres salon,louer,lome,adidogome",LOCATION,Maison,adidogome,60000,2.0,40.0,immoask
"appartement meublé,louer,lome,agoe",LOCATION,Appartement,agoe,250000,1.0,100.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,350000,2.0,150.0,immoask
"villa meublée,louer,lome,adidogome",LOCATION,Villa,adidogome,1000000,4.0,150.0,immoask
"chambre salon,louer,lome,zanguera",LOCATION,Chambre Salon,zanguera,35000,1.0,15.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,450000,2.0,150.0,immoask
"appartement meublé,louer,lome, centre ville",LOCATION,Appartement,nyékonakpoè,1100000,1.0,100.0,immoask
"chambre salon,louer,lome, zanguera",LOCATION,Chambre Salon,zanguera,45000,1.0,20.0,immoask
"villa meublée,louer,lome,carrefour aised",LOCATION,Villa,adidogome,400000,2.0,150.0,immoask
"appartement meublé,louer,lome, gblinkome",LOCATION,Appartement,gblinkome,250000,2.0,55.0,immoask
"appartement meublé,louer,lome,kodjoviakope",LOCATION,Appartement,kodjoviakope,300000,1.0,50.0,immoask
"studio meublé,louer,lome,agoe",LOCATION,Appartement,agoe,150000,1.0,25.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,200000,2.0,50.0,immoask
"appartement meublé,louer,lome,kodjoviakope",LOCATION,Appartement,kodjoviakope,550000,2.0,100.0,immoask
"appartement meublé,louer,lome,hedzranawoe",LOCATION,Appartement,hédzranawoe,350000,1.0,70.0,immoask
"appartement meublé,louer,lome,agoe nyive",LOCATION,Appartement,agoe,250000,1.0,70.0,immoask
"immeuble commercial,vendre,lome,legbassito",VENTE,Appartement,agoe,85000000,2.0,600.0,immoask
"appartement meublé,louer,lome,avenou",LOCATION,Appartement,avenou,450000,2.0,100.0,immoask
"appartement meublé,louer,lome,agbalepedo",LOCATION,Appartement,agbalépédo,150000,2.0,70.0,immoask
"appartement meublé,louer,lome,agbalepedo",LOCATION,Appartement,agbalépédo,300000,3.0,120.0,immoask
"appartement meublé,louer,lome,segbe",LOCATION,Appartement,segbe,330000,2.0,70.0,immoask
"appartement meublé,louer,lome,adidoadin",LOCATION,Appartement,adidoadin,350000,2.0,100.0,immoask
"boutique,louer,lome,djidjole",LOCATION,Maison,djidjolé,40000,1.0,11.0,immoask
"appartement meublé,louer,lome,avedji",LOCATION,Appartement,avedji,250000,2.0,150.0,immoask
"appartement meublé,louer,lome,avedji",LOCATION,Appartement,avedji,250000,2.0,15.0,immoask
"appartement meublé,louer,lome,sagbado",LOCATION,Appartement,sagbado,350000,2.0,150.0,immoask
"terrain,vendre,lome,davie",VENTE,Terrain,davie,1000000,2.0,150.0,immoask
"terrain,vendre,lome,davie",VENTE,Terrain,davie,6500000,2.0,600.0,immoask
"terrain,vendre,lome,kohe",VENTE,Terrain,adidogome,13500000,2.0,760.0,immoask
"appartement meublé,louer,lome,segbe",LOCATION,Appartement,segbe,350000,2.0,100.0,immoask
"terrain,vendre,lome,adetikope",VENTE,Terrain,adetikope,8000000,2.0,600.0,immoask
"terrain,vendre,lome,adetikope",VENTE,Terrain,adetikope,16000000,2.0,600.0,immoask
"terrain,vendre,lome,segbe",VENTE,Terrain,segbe,26000000,2.0,880.0,immoask
"terrain,vendre,lome,adeticope",VENTE,Terrain,adetikope,3500000,2.0,300.0,immoask
"terrain,vendre,lome,adeticope",VENTE,Terrain,adetikope,2000000,2.0,150.0,immoask
"maison,vendre,lome,vapkossito",VENTE,Maison,agoe,25000000,3.0,300.0,immoask
"villa meublée,louer,lome,adidoadin",LOCATION,Villa,adidoadin,250000,1.0,150.0,immoask
"terrain,vendre,lome,adetikope",VENTE,Terrain,adetikope,3500000,2.0,300.0,immoask
"terrain,vendre,lome,adetikope",VENTE,Terrain,adetikope,2000000,2.0,150.0,immoask
"terrain,vendre,lome,djagble",VENTE,Terrain,djagble,3500000,2.0,300.0,immoask
"terrain,vendre,lome,adetikope",VENTE,Terrain,adetikope,6500000,2.0,600.0,immoask
"appartement,louer,lome,adewi",LOCATION,Appartement,adewui,300000,2.0,60.0,immoask
"villa,vendre,lome,agoe",VENTE,Villa,agoe,40000000,3.0,300.0,immoask
"studio meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,250000,1.0,17.0,immoask
"villa meublée,louer,lome,akodessewa",LOCATION,Villa,akodessewa,1800000,5.0,700.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,350000,1.0,35.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,500000,2.0,80.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,600000,2.0,80.0,immoask
"terrain,vendre,lome,djagble",VENTE,Terrain,djagble,12000000,2.0,600.0,immoask
"appartement meublé,louer,lome,attiegou",LOCATION,Appartement,attiégou,500000,2.0,153.0,immoask
"chambre salon,louer,lome,agbalepedo",LOCATION,Chambre Salon,agbalépédo,55000,1.0,35.0,immoask
"terrain,vendre,lome,zanguera",VENTE,Terrain,zanguera,9000000,2.0,600.0,immoask
"terrain,vendre,lome,adidogome",VENTE,Terrain,adidogome,16000000,2.0,600.0,immoask
"chambre salon,louer,lome,adidogome",LOCATION,Chambre Salon,adidogome,35000,1.0,30.0,immoask
"2 chambres salon,louer,lome,adewui",LOCATION,Maison,adewui,300000,2.0,90.0,immoask
"chambre salon,louer,lome,adewui",LOCATION,Chambre Salon,adewui,225000,1.0,75.0,immoask
"chambre,louer,lome,adewui",LOCATION,Appartement,adewui,125000,2.0,40.0,immoask
"terrain,vendre,lome,adetikope",VENTE,Terrain,adetikope,6000000,2.0,600.0,immoask
"terrain,vendre,lome,davie",VENTE,Terrain,davie,5600000,2.0,600.0,immoask
"maison,vendre,lome,djiffa kpota",VENTE,Maison,bè,45000000,3.0,515.0,immoask
"terrain,vendre,lome,agbalepedo",VENTE,Terrain,agbalépédo,37000000,2.0,345.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,350000,1.0,30.0,immoask
"studio meublé,louer,lome,adidogome",LOCATION,Studio,adidogome,250000,1.0,25.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,1000000,2.0,100.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,600000,2.0,70.0,immoask
"appartement meublé,louer,lome,adidogome",LOCATION,Appartement,adidogome,450000,2.0,70.0,immoask
"appartement meublé,louer,lome,rue de l’ocam",LOCATION,Appartement,bè,300000,2.0,45.0,immoask
"appartement,louer,lome,agoe",LOCATION,Appartement,agoe,55000,2.0,53.0,immoask
"villa meublée,louer,lome,segbe",LOCATION,Villa,segbe,250000,1.0,150.0,immoask
"villa,vendre,lome,avenou",VENTE,Villa,avenou,130000000,3.0,334.0,immoask
"appartement meublé,louer,lome,amandahome.",LOCATION,Appartement,adidogome,300000,2.0,70.0,immoask
"appartement meublé,louer,aneho,agbanou",LOCATION,Appartement,agbanou,250000,3.0,100.0,immoask
"appartement meublé,louer,lome,todman",LOCATION,Appartement,tokoin,500000,2.0,60.0,immoask
"terrain,vendre,lome,tokoin protestant",VENTE,Terrain,tokoin,25000000,2.0,300.0,immoask
"terrain,vendre,lome,sagbado",VENTE,Terrain,sagbado,19000000,2.0,459.0,immoask
