prefecture,zone_admin,Type d'offre,Type de bien,zone,prix,surface_m2,prix_m2_officiel,source
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,lawai,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,zongo,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,tchitchao,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,essowavana,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,sonde,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,wekada,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,nima,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 1: URBAINE,VENTE,TERRAIN,gnimda,2000000,600,3333,valeursvenales
SOTOUBOUA,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,zone periurbaine,1000000,600,1667,valeursvenales
SOTOUBOUA,ZONE 3: RURALE,VENTE,TERRAIN,terrains agricoles,200000,10000,20,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,centre-ville,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,kpengalam,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,komah,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,akamade,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,tchawanda,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,kagnide,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,barriere,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,kossobio,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,zongo,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,didaoure,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,koulounde,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 1: URBAINE,VENTE,TERRAIN,centre admnistratif,4000000,600,6667,valeursvenales
TCHAOUDJO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,zone periurbaine,2000000,600,3333,valeursvenales
TCHAOUDJO,ZONE 3: RURALE,VENTE,TERRAIN,terrains agricoles,200000,10000,20,valeursvenales
BASSAR,ZONE 1: URBAINE,VENTE,TERRAIN,okoro,3000000,600,5000,valeursvenales
BASSAR,ZONE 1: URBAINE,VENTE,TERRAIN,boukoundjibe,3000000,600,5000,valeursvenales
BASSAR,ZONE 1: URBAINE,VENTE,TERRAIN,ouadande,3000000,600,5000,valeursvenales
BASSAR,ZONE 1: URBAINE,VENTE,TERRAIN,bamimda,3000000,600,5000,valeursvenales
BASSAR,ZONE 1: URBAINE,VENTE,TERRAIN,boukoutchabe,3000000,600,5000,valeursvenales
BASSAR,ZONE 1: URBAINE,VENTE,TERRAIN,biakpabe,3000000,600,5000,valeursvenales
BASSAR,ZONE 1: URBAINE,VENTE,TERRAIN,kpankissi,3000000,600,5000,valeursvenales
BASSAR,ZONE 1: URBAINE,VENTE,TERRAIN,saboundjra,3000000,600,5000,valeursvenales
BASSAR,ZONE 1: URBAINE,VENTE,TERRAIN,ketangbao,3000000,600,5000,valeursvenales
BASSAR,ZONE 1: URBAINE,VENTE,TERRAIN,kpadja doumpou,3000000,600,5000,valeursvenales
