Préfecture,Zone,Type d'offre,Type de bien,Quartier,Valeur vénale (FCFA),Surface (m²),Valeur/m² (FCFA),source
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,LOGOPE,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,ANOKOUI,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 1: URBAINE,VENTE,TERRAIN,ADETIKOPE ZONE URBAINE,10000000,600,16667,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,SANGUERA 2,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,AMEDENTA,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,KONHE,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ZOPOMAHE,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ZOSSIME,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,DALIKO,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,LEGBASSITO,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,MADJIKPETO,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,AHONKPOE,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,TOGBLEKOPE,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ZONGO,5000000,600,8333,valeursvenales
AGOE-NYIVE,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ADETIKOPE PERIURBAIN,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,DAVIEMODJI,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,TSEVIE WEME,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,TSEVIE WAGBA,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,TSEVIE WUAGBA (CITE NORD),5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,TSEVIE DAVIE ADIDOME,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,TSEVIE ASSIAMA,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,TSEVIE BOLOUMONDJI,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,TSEVIE GBATOPEMODJI,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,KPALI,5000000,600,8333,valeursvenales
ZIO,ZONE 1: URBAINE,VENTE,TERRAIN,KPATEFI,5000000,600,8333,valeursvenales
ZIO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,MISSION TOVE,2000000,600,3333,valeursvenales
ZIO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,APESSITO,2000000,600,3333,valeursvenales
ZIO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,KPALA,2000000,600,3333,valeursvenales
ZIO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,DAVIE ASSOME,2000000,600,3333,valeursvenales
ZIO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,DJAGBLE,2000000,600,3333,valeursvenales
ZIO,ZONE 3: RURALE,VENTE,TERRAIN,TERRAINS AGRICOLES,700000,10000,70,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,ATAKPAME EROMA,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,AGBONOU KPOTA,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,IDIOTSE,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,COMMUNE,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,TALO SANIN,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,AYELECOPE,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,AGBONOU-KPOTA,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,AGBONOU,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,GNAGNA,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,WOUDOU,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,DOULASSAME,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,AGBONOU-KPOTAME,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,TALO-TANDJE,4000000,600,6667,valeursvenales
OGOU,ZONE 1: URBAINE,VENTE,TERRAIN,AFEYE-KPOTA,4000000,600,6667,valeursvenales
OGOU,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ZONE PERIURBAINE,2000000,600,3333,valeursvenales
OGOU,ZONE 3: RURALE,VENTE,TERRAIN,TERRAINS AGRICOLES,200000,10000,20,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,NLESSI,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,GLIDJI,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,ZEBE,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,ASSOUKONDJI,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,VODOUGBE COCOTERAIE,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,ADJIDO,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,ABALO KONDJI,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,VODOUGBE,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,TONOUKONDJI,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,YESUVITO,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,KPOTA,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,DEGBENOU,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,COMMUNE,5000000,600,8333,valeursvenales
LACS,ZONE 1: URBAINE,VENTE,TERRAIN,GOUMOUKOPE,5000000,600,8333,valeursvenales
LACS,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ZONE PERIURBAINE,2000000,600,3333,valeursvenales
LACS,ZONE 3: RURALE,VENTE,TERRAIN,TERRAINS AGRICOLES,600000,10000,60,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,SEVA-MONDJI,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,ADJREGO-APEGAN,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,ADAGBE,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,AGBOPE,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,VILLE DE VOGAN,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,AGOGBEZIN,4000000,600,6667,valeursvenales
VO,ZONE 1: URBAINE,VENTE,TERRAIN,AMOINDJI-PEDAKOME,4000000,600,6667,valeursvenales
VO,ZONE 2: PÉRIURBAINE,VENTE,TERRAIN,ZONE PERIURBAINE,2000000,600,3333,valeursvenales
VO,ZONE 3: RURALE,VENTE,TERRAIN,TERRAINS AGRICOLES,500000,10000,50,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,KPODZI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,KUSUNTU,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,KPEGOLONOU,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,KLIGEKODZI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,KPOTA,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,ZOMAYI KPOTA,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,KPETA,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,DZODZEKODZI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,AGOEKODZI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,KPOGADZI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,SIHINU,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,GAKPODZI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,ZONGO,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,AFIADENYIGBA KODZI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,DOME,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,TOTSOANYI,5000000,600,8333,valeursvenales
KLOTO,ZONE 1: URBAINE,VENTE,TERRAIN,SAMKODZI,5000000,600,8333,valeursvenales
